id,dependencia,estado_cobertura,hijos_directos,descendientes_cargados,ultima_verificacion
sec-0,Secretaría de Gobernación,Estructura básica + OAD,7,29,2026-09-25
sec-1,Secretaría de Relaciones Exteriores,Raíz,0,0,2026-09-25
sec-2,Secretaría de la Defensa Nacional,Raíz,0,0,2026-09-25
sec-3,Secretaría de Marina,Raíz,0,0,2026-09-25
sec-4,Secretaría de Seguridad y Protección Ciudadana,Raíz,0,0,2026-09-25
sec-5,Secretaría de Hacienda y Crédito Público,Estructura superior avanzada,8,41,2026-09-25
sec-6,Secretaría de Bienestar,Raíz,0,0,2026-09-25
sec-7,Secretaría de Medio Ambiente y Recursos Naturales,Estructura básica + OAD,15,35,2026-09-25
sec-8,Secretaría de Energía,Parcial avanzada,4,18,2026-09-25
sec-9,Secretaría de Economía,Raíz,0,0,2026-09-25
sec-10,Secretaría de Agricultura y Desarrollo Rural,Raíz,0,0,2026-09-25
sec-11,"Secretaría de Infraestructura, Comunicaciones y Transportes",Estructura superior parcial,9,21,2026-09-25
sec-12,Secretaría Anticorrupción y Buen Gobierno,Estructura básica + OAD,8,17,2026-09-25
sec-13,Secretaría de Educación Pública,Nivel superior,7,7,2026-09-25
sec-14,"Secretaría de Ciencia, Humanidades, Tecnología e Innovación",Raíz,0,0,2026-09-25
sec-15,Secretaría de Salud,Nivel superior,8,8,2026-09-25
sec-16,Secretaría del Trabajo y Previsión Social,Raíz,0,0,2026-09-25
sec-17,"Secretaría de Desarrollo Agrario, Territorial y Urbano",Raíz,0,0,2026-09-25
sec-18,Secretaría de Cultura,Raíz,0,0,2026-09-25
sec-19,Secretaría de Turismo,Raíz,0,0,2026-09-25
sec-20,Secretaría de las Mujeres,Básica completa,7,15,2026-09-25
sec-21,Agencia de Transformación Digital y Telecomunicaciones,Base + actualización,6,18,2026-09-25
