id,nombre,nombre_corto,bloque,tipo,id_padre,padre,nivel,fundamento,fuente_codigo,fuente_nombre,fuente_url,fuente_fecha,verificado,cobertura,titular,titular_fuente_url,titular_fecha_verificacion,fecha_verificacion,notas,fecha_inicio,fecha_fin,tipo_cambio,id_predecesora
exec-root,Poder Ejecutivo de la Unión,Poder Ejecutivo,Poder Ejecutivo,Poder,,Estado mexicano,1,CPEUM arts. 49,CPEUM,Constitución Política de los Estados Unidos Mexicanos,https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf,2026-03-03,Sí,Registro base verificado,,,,2026-09-25,,,,,
apf-central,Administración Pública Federal Centralizada,APF Centralizada,Poder Ejecutivo,Rama administrativa,exec-root,Poder Ejecutivo de la Unión,2,LOAPF arts. 1 y 2,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,,,,,
presidencia,Oficina de la Presidencia de la República,Presidencia,Poder Ejecutivo,Órgano superior,apf-central,Administración Pública Federal Centralizada,3,LOAPF arts. 1 y 8,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,,,,,
cjer,Consejería Jurídica del Ejecutivo Federal,CJEF,Poder Ejecutivo,Dependencia centralizada,apf-central,Administración Pública Federal Centralizada,3,"LOAPF arts. 1, 2 y 4",LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Registro base verificado,,,,2026-09-25,,,,,
sec-0,Secretaría de Gobernación,SEGOB,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,RI_SEGOB_2025,Reglamento Interior de la Secretaría de Gobernación,https://dof.gob.mx/abrirPDF.php?anio=2025&archivo=21032025-VES.pdf&repo=repositorio%2F,2025-03-21,Sí,Estructura básica y órganos administrativos desconcentrados cargados con base en el artículo 3 del RI 2025,,,,2026-09-25,"V0.3 incorpora unidades superiores, unidades adscritas inmediatas y los ocho OAD enumerados en el artículo 3; niveles inferiores no se consideran exhaustivos.",,,,
sec-1,Secretaría de Relaciones Exteriores,SRE,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,,,,,
sec-2,Secretaría de la Defensa Nacional,Defensa,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,,,,,
sec-3,Secretaría de Marina,Marina,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,,,,,
sec-4,Secretaría de Seguridad y Protección Ciudadana,SSPC,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,LOAPF,Ley Orgánica de la Administración Pública Federal,https://www.diputados.gob.mx/LeyesBiblio/pdf/LOAPF.pdf,,Sí,Raíz/base legal; desagregación pendiente,,,,2026-09-25,,,,,
sec-5,Secretaría de Hacienda y Crédito Público,SHCP,Poder Ejecutivo,Secretaría de Estado,apf-central,Administración Pública Federal Centralizada,3,LOAPF art. 26,RI_SHCP_2025,Decreto de reforma al Reglamento Interior de la Secretaría de Hacienda y Crédito Público,https://www.dof.gob.mx/nota_detalle.php?codigo=5750009&fecha=24/02/2025,2025-02-24,Sí,Estructura superior avanzada reconstruida con el RI reformado en 2025; OAD y varias direcciones especializadas aún pendientes,,,,2026-09-25,"La v0.3 incorpora niveles superiores y unidades adscritas explícitamente identificables en el artículo 50 (régimen de suplencias), que se usa como evidencia auxiliar de adscripción; queda pendiente contraste integral con el artículo 4 y manuales.",,,,
